file,projectId,moduleName,moduleDesc,groupName,mainModuleType,mainModuleTypeDesc,subModuleType,subModuleTypeDesc,interfaceCount,mount_locCoordX,mount_locCoordY,mount_locCoordZ,mount_locCoordROLL,mount_locCoordPITCH,mount_locCoordYAW
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,Imported_AMR,通用差速底盘,chassis_diff,chassis,,diffChassis,,0,0.0,0.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,diffWheel-lft,通用差速轮,diffWheel-lft,driveWheel,,diffWheel,,0,0.0,450.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,diffWheel-right,通用差速轮,diffWheel-right,driveWheel,,diffWheel,,0,0.0,-450.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,driver-left,步科,driver-left,driver,,subDriver,,16,0.0,0.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,driver-right,步科,driver-right,driver,,subDriver,,16,0.0,0.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,driver-lift,步科,driver-lift,driver,,subDriver,,16,0.0,0.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,motor-left,步科电机,motor-left,driver,,PMSMMotor,,4,0.0,0.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,motor-right,步科电机,motor-right,driver,,PMSMMotor,,4,0.0,0.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,motor-lift,步科电机,motor-lift,driver,,PMSMMotor,,4,0.0,0.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,button-emc,"%急停按钮线,Mizu2F转急停开关,70mm,红/黑",button-emc,button,,subButton,,2,700.0,500.0,50.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,lamp,通用灯带,lamp,light,"",lamp,,3,0.0,0.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,charger,,charger,sensor,"
",comDo,,1,0.0,0.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,MainController,四代主控，Q3(Q7)款/R318+主控制器（四代，Q2款），R318，R112，无上下镜头，外置镜头接口，2路MainCAN，CAN不合并，无终端,G_MainController,mainCPU,,subMainCPU,,29,508.0,-181.0,100.0,0.0,0.0,90.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,gyro,板载陀螺仪,G_MainController,sensor,"
",gyro,,0,0.0,0.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,smart camera,通用读码器,smart camera,sensor,"
",codeReader,,1,0.0,40.0,145.0,0.0,0.0,180.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,smart camera0,通用读码器,smart camera0,sensor,"
",codeReader,,1,0.0,-40.0,100.0,180.0,0.0,180.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,laser-front,前激光,laser-front,sensor,"
",laser,,2,700.0,0.0,80.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,IO module,,IO module,extendedlnterface,	,IOModule,,20,0.0,0.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,up_sensor,"自制&接近传感器,SP12-04BNA,索迪龙，4mm",up_sensor,sensor,"
",proximitySensor,,2,0.0,0.0,0.0,0.0,0.0,0.0
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,down_sensor,"自制&接近传感器,SP12-04BNA,索迪龙，4mm",down_sensor,sensor,"
",proximitySensor,,2,0.0,0.0,0.0,0.0,0.0,0.0
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,chassis_diff,通用底盘,chassis_diff,chassis,底盘,steerChassis,舵轮底盘,0,0.0,0.0,0.0,0.0,0.0,0.0
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,MCPU-RA-MC-R318BN,MCPU-RA-MC-R318BN,MCPU-RA-MC-R318BN,mainCPU,,mainCPU,,11,0.0,0.0,0.0,0.0,0.0,0.0
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,IO-lnterface board,IO-lnterface board,IO-lnterface board,unknown,,unknown,,20,0.0,0.0,0.0,0.0,0.0,0.0
