file,projectId,sourceModule,sourceModuleUuid,sourceInterface,sourceInterfaceUuid,sourceType,targetModule,targetModuleUuid,targetInterface,targetInterfaceUuid,targetType
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,driver-left,82bd967322c54e888ef9aaf9752aded0,CAN_1,98fc774977934e07901ec799b7bffdaa,CAN,MainController,30ce17ed495f40a6b90d85158c1d6f08,CAN_2,2ea0552b5a294d0e9945bec1137530ea,CAN
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,driver-left,82bd967322c54e888ef9aaf9752aded0,LINE_1,8dd9d94bb87c4b578c653b4edc461c97,LINE,motor-left,13e6b0ff93bc49e2a89a214744cae88b,LINE_1,a04a03ca08d945cb8d01e2af8214e097,LINE
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,driver-left,82bd967322c54e888ef9aaf9752aded0,ENCR_1,322245d559a54878a3dc6e305d4dfca7,ENCR,motor-left,13e6b0ff93bc49e2a89a214744cae88b,ENCR_1,1a181dc1be834800b49c0873ffe4c7a7,ENCR
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,driver-right,c42343264c884ff2a0ca3fee8fc81997,CAN_1,1b34489764f14cb29d94b43d7157132a,CAN,MainController,30ce17ed495f40a6b90d85158c1d6f08,CAN_2,2ea0552b5a294d0e9945bec1137530ea,CAN
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,driver-right,c42343264c884ff2a0ca3fee8fc81997,LINE_1,47c1cac505c9455ca8fb712c095798d0,LINE,motor-right,639dde0162a3442489651066aaf9cdc7,LINE_1,c8e329d1f55c4146952c13724d31dcb0,LINE
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,driver-right,c42343264c884ff2a0ca3fee8fc81997,ENCR_1,1667de5c5b1e426db53afb3e419fb006,ENCR,motor-right,639dde0162a3442489651066aaf9cdc7,ENCR_1,464a96a51d25407a91f2c961b30d9412,ENCR
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,driver-lift,baa1c9403ec24ad4924283322ff4af95,CAN_1,ca2f4db3796447d0ab8f0f620095bd77,CAN,MainController,30ce17ed495f40a6b90d85158c1d6f08,CAN_2,2ea0552b5a294d0e9945bec1137530ea,CAN
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,driver-lift,baa1c9403ec24ad4924283322ff4af95,LINE_1,3b957ea46b27441c80e0112123e2bc36,LINE,motor-lift,2dce6a0eb00c48ad9e16b1ab111a5de1,LINE_1,404c201670604c8c91da332f683e4598,LINE
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,driver-lift,baa1c9403ec24ad4924283322ff4af95,ENCR_1,71159e54ffe743fda65a868fca9ee1ca,ENCR,motor-lift,2dce6a0eb00c48ad9e16b1ab111a5de1,ENCR_1,6c4b0e925ddb4a2492a766f8dbc44ca0,ENCR
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,button-emc,82c4bc5d93dd40bfafc57e81773a6173,DO_1,f916b38c40384d2f87e3d112f8b89364,DO,IO module,07719f03c3634193aed300c01012bff3,DI_1,96ae90e3139e49fcbd2e19f46077159f,DI
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,lamp,d2001a74c8b14cc8a6d67c8c4dca15c3,DI_1,f1cb8e9d1b55441fbad461ea95c7addb,DI,IO module,07719f03c3634193aed300c01012bff3,DO_1,749fe2b61a9c412db8b9110c0b1565c8,DO
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,lamp,d2001a74c8b14cc8a6d67c8c4dca15c3,DI_2,b249fb92ed564a96bd8bc3047cbb29e5,DI,IO module,07719f03c3634193aed300c01012bff3,DO_2,028817e7eb5848069b3b179c16c966c8,DO
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,lamp,d2001a74c8b14cc8a6d67c8c4dca15c3,DI_3,3ecc311d62ef4d9d86492b837a28d392,DI,IO module,07719f03c3634193aed300c01012bff3,DO_3,e0b750687eed407f8f3a8410186b38de,DO
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,charger,b55630cb09d44f65ad482e9202714f1b,DI_1,f1196b3c6b4a4f799178668e4c6bc536,DI,IO module,07719f03c3634193aed300c01012bff3,DO_4,567fb65b09a544e4a6064f8861ae6962,DO
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,MainController,30ce17ed495f40a6b90d85158c1d6f08,CAN_3,1b899f8c4907479490c373180475bda3,CAN,IO module,07719f03c3634193aed300c01012bff3,CAN_1,643edc5a6bcd4ec693ca70c48303c0e6,CAN
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,MainController,30ce17ed495f40a6b90d85158c1d6f08,ETH_1,1df5209ef25d410a913824a04fbf1c3d,ETH,MainController,30ce17ed495f40a6b90d85158c1d6f08,ETH_1,1df5209ef25d410a913824a04fbf1c3d,ETH
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,MainController,30ce17ed495f40a6b90d85158c1d6f08,ETH_1,1df5209ef25d410a913824a04fbf1c3d,ETH,MainController,30ce17ed495f40a6b90d85158c1d6f08,ETH_2,5f05424e8d8c4a9a979a821d85e58248,ETH
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,MainController,30ce17ed495f40a6b90d85158c1d6f08,ETH_1,1df5209ef25d410a913824a04fbf1c3d,ETH,MainController,30ce17ed495f40a6b90d85158c1d6f08,ETH_3,f8174a537b9843dabfd0619be5bd2f11,ETH
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,MainController,30ce17ed495f40a6b90d85158c1d6f08,ETH_1,1df5209ef25d410a913824a04fbf1c3d,ETH,smart camera,349a2134e3494755a776854914f78c83,ETH_1,86b04af5fa9944819a700cfdcaa8aed9,ETH
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,MainController,30ce17ed495f40a6b90d85158c1d6f08,ETH_1,1df5209ef25d410a913824a04fbf1c3d,ETH,smart camera0,5cd062a3b2df4938b1c1a06a61645f1f,ETH_1,e79146c5a1054196b4a9e877109a8367,ETH
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,MainController,30ce17ed495f40a6b90d85158c1d6f08,ETH_1,1df5209ef25d410a913824a04fbf1c3d,ETH,laser-front,820decb04dd74f6480b7b9e6c8a2f7d8,ETH_1,28d197cffaff4f61b438bea3c487856d,ETH
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,IO module,07719f03c3634193aed300c01012bff3,DI_2,3848b724a8b84ca9800a3256b3cc6a88,DI,up_sensor,a72279a85df345aba809eed5c2369108,DO_1,35640c7f74ea4490810f9a39eb1bc14c,DO
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,IO module,07719f03c3634193aed300c01012bff3,DI_3,619f6a413586418a8f4f92948449710b,DI,down_sensor,3cc65206187a4fb08c223ed77ddcf4c3,DO_1,cbf54ad302a94863bae83bcae4a49a5b,DO
proj_500d130d_packed.cmodel,proj_b1829d90,driver-left,82bd967322c54e888ef9aaf9752aded0,CAN_1,98fc774977934e07901ec799b7bffdaa,CAN,MainController,30ce17ed495f40a6b90d85158c1d6f08,CAN_2,2ea0552b5a294d0e9945bec1137530ea,CAN
proj_500d130d_packed.cmodel,proj_b1829d90,driver-left,82bd967322c54e888ef9aaf9752aded0,LINE_1,8dd9d94bb87c4b578c653b4edc461c97,LINE,motor-left,13e6b0ff93bc49e2a89a214744cae88b,LINE_1,a04a03ca08d945cb8d01e2af8214e097,LINE
proj_500d130d_packed.cmodel,proj_b1829d90,driver-left,82bd967322c54e888ef9aaf9752aded0,ENCR_1,322245d559a54878a3dc6e305d4dfca7,ENCR,motor-left,13e6b0ff93bc49e2a89a214744cae88b,ENCR_1,1a181dc1be834800b49c0873ffe4c7a7,ENCR
proj_500d130d_packed.cmodel,proj_b1829d90,driver-right,c42343264c884ff2a0ca3fee8fc81997,CAN_1,1b34489764f14cb29d94b43d7157132a,CAN,MainController,30ce17ed495f40a6b90d85158c1d6f08,CAN_2,2ea0552b5a294d0e9945bec1137530ea,CAN
proj_500d130d_packed.cmodel,proj_b1829d90,driver-right,c42343264c884ff2a0ca3fee8fc81997,LINE_1,47c1cac505c9455ca8fb712c095798d0,LINE,motor-right,639dde0162a3442489651066aaf9cdc7,LINE_1,c8e329d1f55c4146952c13724d31dcb0,LINE
proj_500d130d_packed.cmodel,proj_b1829d90,driver-right,c42343264c884ff2a0ca3fee8fc81997,ENCR_1,1667de5c5b1e426db53afb3e419fb006,ENCR,motor-right,639dde0162a3442489651066aaf9cdc7,ENCR_1,464a96a51d25407a91f2c961b30d9412,ENCR
proj_500d130d_packed.cmodel,proj_b1829d90,driver-lift,baa1c9403ec24ad4924283322ff4af95,CAN_1,ca2f4db3796447d0ab8f0f620095bd77,CAN,MainController,30ce17ed495f40a6b90d85158c1d6f08,CAN_2,2ea0552b5a294d0e9945bec1137530ea,CAN
proj_500d130d_packed.cmodel,proj_b1829d90,driver-lift,baa1c9403ec24ad4924283322ff4af95,LINE_1,3b957ea46b27441c80e0112123e2bc36,LINE,motor-lift,2dce6a0eb00c48ad9e16b1ab111a5de1,LINE_1,404c201670604c8c91da332f683e4598,LINE
proj_500d130d_packed.cmodel,proj_b1829d90,driver-lift,baa1c9403ec24ad4924283322ff4af95,ENCR_1,71159e54ffe743fda65a868fca9ee1ca,ENCR,motor-lift,2dce6a0eb00c48ad9e16b1ab111a5de1,ENCR_1,6c4b0e925ddb4a2492a766f8dbc44ca0,ENCR
proj_500d130d_packed.cmodel,proj_b1829d90,button-emc,82c4bc5d93dd40bfafc57e81773a6173,DO_1,f916b38c40384d2f87e3d112f8b89364,DO,IO module,07719f03c3634193aed300c01012bff3,DI_1,96ae90e3139e49fcbd2e19f46077159f,DI
proj_500d130d_packed.cmodel,proj_b1829d90,lamp,d2001a74c8b14cc8a6d67c8c4dca15c3,DI_1,f1cb8e9d1b55441fbad461ea95c7addb,DI,IO module,07719f03c3634193aed300c01012bff3,DO_1,749fe2b61a9c412db8b9110c0b1565c8,DO
proj_500d130d_packed.cmodel,proj_b1829d90,lamp,d2001a74c8b14cc8a6d67c8c4dca15c3,DI_2,b249fb92ed564a96bd8bc3047cbb29e5,DI,IO module,07719f03c3634193aed300c01012bff3,DO_2,028817e7eb5848069b3b179c16c966c8,DO
