file,projectId,type,desc,path
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,locationAbility,定位能力,locationAbility
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,navi,导航,locationAbility/navi
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,HCI,人机交互,HCI
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,led,灯光,HCI/led
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,button,按钮,HCI/button
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,safetyAbility,安全能力,safetyAbility
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,safetyIO,安全IO,safetyAbility/safetyIO
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,safetySensor,避障传感器,safetyAbility/safetySensor
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,safetyRound,避障范围,safetyAbility/safetyRound
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,distMeasureAbility,透传测距,distMeasureAbility
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,distSensor,测距,distMeasureAbility/distSensor
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,actorAbility,执行机构能力,actorAbility
proj_990c9e2f_packed.cmodel,proj_d38b2ed4,actor,执行机构,actorAbility/actor
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,locationAbility,定位能力,locationAbility
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,navi,导航,locationAbility/navi
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,HCI,人机交互,HCI
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,led,灯光,HCI/led
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,button,按钮,HCI/button
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,safetyAbility,安全能力,safetyAbility
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,safetyIO,安全IO,safetyAbility/safetyIO
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,safetySensor,避障传感器,safetyAbility/safetySensor
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,safetyRound,避障范围,safetyAbility/safetyRound
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,distMeasureAbility,透传测距,distMeasureAbility
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,distSensor,测距,distMeasureAbility/distSensor
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,actorAbility,执行机构能力,actorAbility
new_proj_khwcs9e_packed (4).cmodel,proj_4c7e555d,actor,执行机构,actorAbility/actor
proj_12345_packed_1.cmodel,proj_fc1fde9b,locationAbility,定位能力,locationAbility
proj_12345_packed_1.cmodel,proj_fc1fde9b,navi,导航,locationAbility/navi
proj_12345_packed_1.cmodel,proj_fc1fde9b,HCI,人机交互,HCI
proj_12345_packed_1.cmodel,proj_fc1fde9b,led,灯光,HCI/led
proj_12345_packed_1.cmodel,proj_fc1fde9b,button,按钮,HCI/button
proj_12345_packed_1.cmodel,proj_fc1fde9b,safetyAbility,安全能力,safetyAbility
proj_12345_packed_1.cmodel,proj_fc1fde9b,safetyIO,安全IO,safetyAbility/safetyIO
proj_12345_packed_1.cmodel,proj_fc1fde9b,safetySensor,避障传感器,safetyAbility/safetySensor
proj_12345_packed_1.cmodel,proj_fc1fde9b,safetyRound,避障范围,safetyAbility/safetyRound
proj_12345_packed_1.cmodel,proj_fc1fde9b,distMeasureAbility,透传测距,distMeasureAbility
proj_12345_packed_1.cmodel,proj_fc1fde9b,distSensor,测距,distMeasureAbility/distSensor
proj_12345_packed_1.cmodel,proj_fc1fde9b,actorAbility,执行机构能力,actorAbility
proj_12345_packed_1.cmodel,proj_fc1fde9b,actor,执行机构,actorAbility/actor
proj_500d130d_packed.cmodel,proj_b1829d90,locationAbility,定位能力,locationAbility
proj_500d130d_packed.cmodel,proj_b1829d90,navi,导航,locationAbility/navi
proj_500d130d_packed.cmodel,proj_b1829d90,HCI,人机交互,HCI
proj_500d130d_packed.cmodel,proj_b1829d90,led,灯光,HCI/led
proj_500d130d_packed.cmodel,proj_b1829d90,button,按钮,HCI/button
proj_500d130d_packed.cmodel,proj_b1829d90,safetyAbility,安全能力,safetyAbility
proj_500d130d_packed.cmodel,proj_b1829d90,safetyIO,安全IO,safetyAbility/safetyIO
proj_500d130d_packed.cmodel,proj_b1829d90,safetySensor,避障传感器,safetyAbility/safetySensor
proj_500d130d_packed.cmodel,proj_b1829d90,safetyRound,避障范围,safetyAbility/safetyRound
proj_500d130d_packed.cmodel,proj_b1829d90,distMeasureAbility,透传测距,distMeasureAbility
proj_500d130d_packed.cmodel,proj_b1829d90,distSensor,测距,distMeasureAbility/distSensor
proj_500d130d_packed.cmodel,proj_b1829d90,actorAbility,执行机构能力,actorAbility
proj_500d130d_packed.cmodel,proj_b1829d90,actor,执行机构,actorAbility/actor
proj_1234_packed (5).cmodel,proj_b48c21d7,locationAbility,定位能力,locationAbility
proj_1234_packed (5).cmodel,proj_b48c21d7,navi,导航,locationAbility/navi
proj_1234_packed (5).cmodel,proj_b48c21d7,HCI,人机交互,HCI
proj_1234_packed (5).cmodel,proj_b48c21d7,led,灯光,HCI/led
proj_1234_packed (5).cmodel,proj_b48c21d7,button,按钮,HCI/button
proj_1234_packed (5).cmodel,proj_b48c21d7,safetyAbility,安全能力,safetyAbility
proj_1234_packed (5).cmodel,proj_b48c21d7,safetyIO,安全IO,safetyAbility/safetyIO
proj_1234_packed (5).cmodel,proj_b48c21d7,safetySensor,避障传感器,safetyAbility/safetySensor
proj_1234_packed (5).cmodel,proj_b48c21d7,safetyRound,避障范围,safetyAbility/safetyRound
proj_1234_packed (5).cmodel,proj_b48c21d7,distMeasureAbility,透传测距,distMeasureAbility
proj_1234_packed (5).cmodel,proj_b48c21d7,distSensor,测距,distMeasureAbility/distSensor
proj_1234_packed (5).cmodel,proj_b48c21d7,actorAbility,执行机构能力,actorAbility
proj_1234_packed (5).cmodel,proj_b48c21d7,actor,执行机构,actorAbility/actor
proj_2c6f8136_packed.cmodel,proj_3e8c4011,locationAbility,定位能力,locationAbility
proj_2c6f8136_packed.cmodel,proj_3e8c4011,navi,导航,locationAbility/navi
proj_2c6f8136_packed.cmodel,proj_3e8c4011,HCI,人机交互,HCI
proj_2c6f8136_packed.cmodel,proj_3e8c4011,led,灯光,HCI/led
proj_2c6f8136_packed.cmodel,proj_3e8c4011,button,按钮,HCI/button
proj_2c6f8136_packed.cmodel,proj_3e8c4011,safetyAbility,安全能力,safetyAbility
proj_2c6f8136_packed.cmodel,proj_3e8c4011,safetyIO,安全IO,safetyAbility/safetyIO
proj_2c6f8136_packed.cmodel,proj_3e8c4011,safetySensor,避障传感器,safetyAbility/safetySensor
proj_2c6f8136_packed.cmodel,proj_3e8c4011,safetyRound,避障范围,safetyAbility/safetyRound
proj_2c6f8136_packed.cmodel,proj_3e8c4011,distMeasureAbility,透传测距,distMeasureAbility
proj_2c6f8136_packed.cmodel,proj_3e8c4011,distSensor,测距,distMeasureAbility/distSensor
proj_2c6f8136_packed.cmodel,proj_3e8c4011,actorAbility,执行机构能力,actorAbility
proj_2c6f8136_packed.cmodel,proj_3e8c4011,actor,执行机构,actorAbility/actor
proj_38a0e8f7_packed.cmodel,proj_e0ab2a79,locationAbility,定位能力,locationAbility
proj_38a0e8f7_packed.cmodel,proj_e0ab2a79,navi,导航,locationAbility/navi
proj_38a0e8f7_packed.cmodel,proj_e0ab2a79,HCI,人机交互,HCI
proj_38a0e8f7_packed.cmodel,proj_e0ab2a79,led,灯光,HCI/led
proj_38a0e8f7_packed.cmodel,proj_e0ab2a79,button,按钮,HCI/button
proj_38a0e8f7_packed.cmodel,proj_e0ab2a79,safetyAbility,安全能力,safetyAbility
proj_38a0e8f7_packed.cmodel,proj_e0ab2a79,safetyIO,安全IO,safetyAbility/safetyIO
proj_38a0e8f7_packed.cmodel,proj_e0ab2a79,safetySensor,避障传感器,safetyAbility/safetySensor
proj_38a0e8f7_packed.cmodel,proj_e0ab2a79,safetyRound,避障范围,safetyAbility/safetyRound
proj_38a0e8f7_packed.cmodel,proj_e0ab2a79,distMeasureAbility,透传测距,distMeasureAbility
proj_38a0e8f7_packed.cmodel,proj_e0ab2a79,distSensor,测距,distMeasureAbility/distSensor
proj_38a0e8f7_packed.cmodel,proj_e0ab2a79,actorAbility,执行机构能力,actorAbility
proj_38a0e8f7_packed.cmodel,proj_e0ab2a79,actor,执行机构,actorAbility/actor
new_proj_khwcs9e_packed (5).cmodel,proj_bf137112,locationAbility,定位能力,locationAbility
new_proj_khwcs9e_packed (5).cmodel,proj_bf137112,navi,导航,locationAbility/navi
new_proj_khwcs9e_packed (5).cmodel,proj_bf137112,HCI,人机交互,HCI
new_proj_khwcs9e_packed (5).cmodel,proj_bf137112,led,灯光,HCI/led
new_proj_khwcs9e_packed (5).cmodel,proj_bf137112,button,按钮,HCI/button
new_proj_khwcs9e_packed (5).cmodel,proj_bf137112,safetyAbility,安全能力,safetyAbility
new_proj_khwcs9e_packed (5).cmodel,proj_bf137112,safetyIO,安全IO,safetyAbility/safetyIO
new_proj_khwcs9e_packed (5).cmodel,proj_bf137112,safetySensor,避障传感器,safetyAbility/safetySensor
new_proj_khwcs9e_packed (5).cmodel,proj_bf137112,safetyRound,避障范围,safetyAbility/safetyRound
new_proj_khwcs9e_packed (5).cmodel,proj_bf137112,distMeasureAbility,透传测距,distMeasureAbility
new_proj_khwcs9e_packed (5).cmodel,proj_bf137112,distSensor,测距,distMeasureAbility/distSensor
new_proj_khwcs9e_packed (5).cmodel,proj_bf137112,actorAbility,执行机构能力,actorAbility
new_proj_khwcs9e_packed (5).cmodel,proj_bf137112,actor,执行机构,actorAbility/actor
proj_7f617f18_packed.cmodel,proj_16a6f619,locationAbility,定位能力,locationAbility
proj_7f617f18_packed.cmodel,proj_16a6f619,navi,导航,locationAbility/navi
proj_7f617f18_packed.cmodel,proj_16a6f619,HCI,人机交互,HCI
proj_7f617f18_packed.cmodel,proj_16a6f619,led,灯光,HCI/led
proj_7f617f18_packed.cmodel,proj_16a6f619,button,按钮,HCI/button
proj_7f617f18_packed.cmodel,proj_16a6f619,safetyAbility,安全能力,safetyAbility
proj_7f617f18_packed.cmodel,proj_16a6f619,safetyIO,安全IO,safetyAbility/safetyIO
proj_7f617f18_packed.cmodel,proj_16a6f619,safetySensor,避障传感器,safetyAbility/safetySensor
proj_7f617f18_packed.cmodel,proj_16a6f619,safetyRound,避障范围,safetyAbility/safetyRound
proj_7f617f18_packed.cmodel,proj_16a6f619,distMeasureAbility,透传测距,distMeasureAbility
proj_7f617f18_packed.cmodel,proj_16a6f619,distSensor,测距,distMeasureAbility/distSensor
proj_7f617f18_packed.cmodel,proj_16a6f619,actorAbility,执行机构能力,actorAbility
proj_7f617f18_packed.cmodel,proj_16a6f619,actor,执行机构,actorAbility/actor
proj_1d29c4df_packed.cmodel,proj_9c4f4a56,locationAbility,定位能力,locationAbility
proj_1d29c4df_packed.cmodel,proj_9c4f4a56,navi,导航,locationAbility/navi
proj_1d29c4df_packed.cmodel,proj_9c4f4a56,HCI,人机交互,HCI
proj_1d29c4df_packed.cmodel,proj_9c4f4a56,led,灯光,HCI/led
proj_1d29c4df_packed.cmodel,proj_9c4f4a56,button,按钮,HCI/button
