file,sourcePath,status,remoteProjectId,componentCount,connectionCount,missingConnectionTargets,componentAbilityCount,functionAbilityCount,functionNodeCount,error
proj_12345_packed.cmodel,/Users/wangfeifei/Downloads/proj_12345_packed.cmodel,error,,,,,,,,HTTPError('500 Server Error: Internal Server Error for url: http://116.62.39.177:8888/api/v1/models/upload')
proj_990c9e2f_packed.cmodel,/Users/wangfeifei/Downloads/proj_990c9e2f_packed.cmodel,success,proj_d38b2ed4,20,23,0,2,5,13,
new_proj_khwcs9e_packed (4).cmodel,/Users/wangfeifei/Downloads/new_proj_khwcs9e_packed (4).cmodel,success,proj_4c7e555d,12,0,0,0,2,13,
proj_12345_packed_1.cmodel,/Users/wangfeifei/Downloads/proj_12345_packed_1.cmodel,success,proj_fc1fde9b,2,0,0,2,6,13,
proj_500d130d_packed.cmodel,/Users/wangfeifei/Downloads/proj_500d130d_packed.cmodel,success,proj_b1829d90,20,23,0,2,5,13,
proj_1234_packed (5).cmodel,/Users/wangfeifei/Downloads/proj_1234_packed (5).cmodel,success,proj_b48c21d7,12,0,0,0,2,13,
proj_2c6f8136_packed.cmodel,/Users/wangfeifei/Downloads/proj_2c6f8136_packed.cmodel,success,proj_3e8c4011,20,23,0,2,5,13,
proj_38a0e8f7_packed.cmodel,/Users/wangfeifei/Downloads/proj_38a0e8f7_packed.cmodel,success,proj_e0ab2a79,20,23,0,2,5,13,
proj_12345_packed (1).cmodel,/Users/wangfeifei/Downloads/proj_12345_packed (1).cmodel,error,,,,,,,,HTTPError('500 Server Error: Internal Server Error for url: http://116.62.39.177:8888/api/v1/models/upload')
new_proj_khwcs9e_packed (5).cmodel,/Users/wangfeifei/Downloads/new_proj_khwcs9e_packed (5).cmodel,success,proj_bf137112,12,0,0,0,2,13,
proj_7f617f18_packed.cmodel,/Users/wangfeifei/Downloads/proj_7f617f18_packed.cmodel,success,proj_16a6f619,20,23,0,2,5,13,
proj_1d29c4df_packed.cmodel,/Users/wangfeifei/Downloads/proj_1d29c4df_packed.cmodel,success,proj_9c4f4a56,20,23,0,2,5,13,
proj_8b800f1b_packed.cmodel,/Users/wangfeifei/Downloads/proj_8b800f1b_packed.cmodel,success,proj_673863ac,44,49,0,2,5,13,
proj_57fd760b_packed.cmodel,/Users/wangfeifei/Downloads/proj_57fd760b_packed.cmodel,success,proj_dfa7c138,20,23,0,2,10,13,
proj_1234_packed (7).cmodel,/Users/wangfeifei/Downloads/proj_1234_packed (7).cmodel,success,proj_ddb7aa40,12,0,0,2,6,13,
proj_c578be69_packed.cmodel,/Users/wangfeifei/Downloads/proj_c578be69_packed.cmodel,success,proj_47c5ae79,20,23,0,2,5,13,
new_proj_khwcs9e_packed (7).cmodel,/Users/wangfeifei/Downloads/new_proj_khwcs9e_packed (7).cmodel,success,proj_3253975f,12,0,0,0,2,13,
proj_070ce3fc_packed.cmodel,/Users/wangfeifei/Downloads/proj_070ce3fc_packed.cmodel,success,proj_2f1b9c29,20,23,0,2,5,13,
proj_12345_packed (3).cmodel,/Users/wangfeifei/Downloads/proj_12345_packed (3).cmodel,success,proj_ea218cad,12,0,0,2,6,13,
proj_ea4dc53c_packed.cmodel,/Users/wangfeifei/Downloads/proj_ea4dc53c_packed.cmodel,success,proj_bb01f4a9,44,49,0,2,5,13,
new_proj_khwcs9e_packed (6).cmodel,/Users/wangfeifei/Downloads/new_proj_khwcs9e_packed (6).cmodel,success,proj_0f0a8833,12,0,0,0,2,13,
proj_12345_packed (2).cmodel,/Users/wangfeifei/Downloads/proj_12345_packed (2).cmodel,success,proj_e72171dc,12,0,0,2,6,13,
new_proj_15kfuy5_packed.cmodel,/Users/wangfeifei/Downloads/new_proj_15kfuy5_packed.cmodel,success,proj_b312d6fd,15,4,0,0,2,0,
1234.cmodel,/Users/wangfeifei/Downloads/1234.cmodel,success,proj_0801b2d7,20,23,0,2,5,13,
new_proj_15kfuy5_packed (1).cmodel,/Users/wangfeifei/Downloads/new_proj_15kfuy5_packed (1).cmodel,success,proj_6e3ecc4f,15,4,0,0,2,0,
new_proj_2osj9dz_packed.cmodel,/Users/wangfeifei/Downloads/new_proj_2osj9dz_packed.cmodel,success,proj_5cc5e9ea,16,1,0,0,3,13,
proj_12345_packed_12.cmodel,/Users/wangfeifei/Downloads/proj_12345_packed_12.cmodel,success,proj_0a7ac659,12,0,0,2,6,13,
proj_579b8c68_packed.cmodel,/Users/wangfeifei/Downloads/proj_579b8c68_packed.cmodel,success,proj_e66ffdd0,20,23,0,2,5,13,
测试车模型(1).cmodel,/Users/wangfeifei/Downloads/测试车模型(1).cmodel,success,proj_cc72559b,17,15,0,2,6,17,
proj_1cad053c_packed.cmodel,/Users/wangfeifei/Downloads/proj_1cad053c_packed.cmodel,success,proj_7893ef2f,20,23,0,2,5,13,
proj_5f40dd56_packed.cmodel,/Users/wangfeifei/Downloads/proj_5f40dd56_packed.cmodel,success,proj_194eead5,18,2,0,0,3,13,
new_proj_khwcs9e_packed (3).cmodel,/Users/wangfeifei/Downloads/new_proj_khwcs9e_packed (3).cmodel,success,proj_57116c3e,12,0,0,0,2,13,
proj_89190f0a_packed.cmodel,/Users/wangfeifei/Downloads/proj_89190f0a_packed.cmodel,success,proj_d9a6bc36,20,0,0,2,5,13,
