模块名,所属子系统,子系统Key,模块主类别,主类别Key,子类别,子类别Key,安装位置(X/Y/Z),旋转姿态(R/P/Y)
chassis_diff,底盘系统,ChassisSys,底盘,chassis,舵轮底盘,steerChassis,0/0/0,0/0/0
MCPU-RA-MC-R318BN,未分类系统,ControlSys,未知,unknown,Unknown,Unknown,0/0/0,0/0/0
IO-lnterface board,未分类系统,UnclassifiedSys,未知,unknown,Unknown,Unknown,0/0/0,0/0/0
LS-MR-LS-05H-N4017,未分类系统,SensorSys,未知,unknown,Unknown,Unknown,0/0/0,0/0/0
BAT-U-MR-LFP-480024-F1-C-Aa0,未分类系统,EnergySys,未知,unknown,Unknown,Unknown,0/0/0,0/0/0
button-Common,未分类系统,UnclassifiedSys,未知,unknown,Unknown,Unknown,0/0/0,0/0/0
driveWheel_1,未分类系统,MotionSys,未知,unknown,Unknown,Unknown,0/400.0/0,0/0/0
driver_1,未分类系统,DriverSys,未知,unknown,Unknown,Unknown,0/0/0,0/0/0
walkMotor_1,未分类系统,DriverSys,未知,unknown,Unknown,Unknown,0/0/0,0/0/0
driveWheel_2,未分类系统,MotionSys,未知,unknown,Unknown,Unknown,0/-400.0/0,0/0/0
driver_2,未分类系统,DriverSys,未知,unknown,Unknown,Unknown,0/0/0,0/0/0
walkMotor_2,未分类系统,DriverSys,未知,unknown,Unknown,Unknown,0/0/0,0/0/0
