模块名,所属子系统,模块主类别,子类别,安装位置(X/Y/Z),旋转姿态(R/P/Y)
chassis_diff,底盘系统,底盘,舵轮底盘,0/0/0,0/0/0
MCPU-RA-MC-R318BN,控制系统,Unknown,Unknown,0/0/0,0/0/0
IO-lnterface board,未分类系统,Unknown,Unknown,0/0/0,0/0/0
LS-MR-LS-05H-N4017,传感器系统,Unknown,Unknown,0/0/0,0/0/0
BAT-U-MR-LFP-480024-F1-C-Aa0,能量系统,Unknown,Unknown,0/0/0,0/0/0
button-Common,交互系统,Unknown,Unknown,0/0/0,0/0/0
driveWheel_1,运动系统,Unknown,Unknown,0/400.0/0,0/0/0
driver_1,驱动系统,Unknown,Unknown,0/0/0,0/0/0
walkMotor_1,驱动系统,Unknown,Unknown,0/0/0,0/0/0
driveWheel_2,运动系统,Unknown,Unknown,0/-400.0/0,0/0/0
driver_2,驱动系统,Unknown,Unknown,0/0/0,0/0/0
walkMotor_2,驱动系统,Unknown,Unknown,0/0/0,0/0/0
