模块名,所属子系统,子系统Key,模块主类别,主类别Key,子类别,子类别Key,安装位置(X/Y/Z),旋转姿态(R/P/Y)
chassis_diff,底盘系统,ChassisSys,底盘,chassis,舵轮底盘,steerChassis,0/0/0,0/0/0
MCPU-RA-MC-R318BN,控制系统,ControlSys,核心主控,mainCPU,核心主控,mainCPU,0/0/0,0/0/0
IO-lnterface board,控制系统,ControlSys,接口扩展模块,extendedlnterface,接口扩展模块,extendedlnterface,0/0/0,0/0/0
LS-MR-LS-05H-N4017,传感器系统,SensorSys,感知传感器,sensor,感知传感器,sensor,0/0/0,0/0/0
BAT-U-MR-LFP-480024-F1-C-Aa0,能量系统,EnergySys,能量电池,battery,能量电池,battery,0/0/0,0/0/0
button-Common,交互系统,InteractiveSys,交互按钮,button,交互按钮,button,0/0/0,0/0/0
driveWheel_1,运动系统,MotionSys,驱动轮,driveWheel,驱动轮,driveWheel,0/400.0/0,0/0/0
driver_1,驱动系统,DriverSys,驱动器,driver,驱动器,driver,0/0/0,0/0/0
walkMotor_1,驱动系统,DriverSys,永磁同步电机,PMSMMotor,永磁同步电机,PMSMMotor,0/0/0,0/0/0
driveWheel_2,运动系统,MotionSys,驱动轮,driveWheel,驱动轮,driveWheel,0/-400.0/0,0/0/0
driver_2,驱动系统,DriverSys,驱动器,driver,驱动器,driver,0/0/0,0/0/0
walkMotor_2,驱动系统,DriverSys,永磁同步电机,PMSMMotor,永磁同步电机,PMSMMotor,0/0/0,0/0/0
